Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.8409901354327E-05,2.46544480867264E-05,0.002,0,0,0,0.247615715480692,0.00129403189153011,9.67724143112491E-07,-4.51639540384776E-18,0.00129411626086441,2.80709350314184E-21,0.0025874878438199,0,0,0,0,0,0,package://Yummy_Robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/base_link.STL,,UR底板-1,baseframe,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L0,1.28870232038765E-05,-2.87681424912568E-05,0.0249199361471398,0,0,0,0.278208173200074,0.000256935622393261,-6.4303112432835E-10,-5.51880860497745E-10,0.000257749415643912,1.89890892602296E-08,0.000407884496140122,0,0,0,0,0,0,package://Yummy_Robot/meshes/L0.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L0.STL,,UR电机底座-1;4310 减速电机 3D 20221104-1,baseframe,J1,J0,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L1,-0.000481548713902503,-2.71670005935754E-10,0.0461894632655837,0,0,0,0.34441629289114,0.000273587077703993,7.18005323704943E-09,2.40798665316603E-06,0.000293042687475978,-6.02723353870862E-09,0.00024631720146591,0,0,0,0,0,0,package://Yummy_Robot/meshes/L1.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L1.STL,,J1-转接-1-2-1;CyberGearmotor-6;CyberGearmotor-7;J2-垫块2-1;J2-垫块2-2,frame1,J1,J1,continuous,0,0,0.054,0,0,0,L0,0,0,-1,,,,,,,,,,,,
L2,0.147399422230386,-2.87945438928118E-05,0.000815648688291471,0,0,0,0.849556921256158,0.000822493734654003,9.3757393037198E-07,-3.13865408042652E-05,0.00174411539434368,4.59604581258483E-07,0.00154138146149914,0,0,0,0,0,0,package://Yummy_Robot/meshes/L2.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L2.STL,,J2-转接2-1;L2-尼龙-189-2;J3-转接-1;J4-限位-1;J3-垫片-2-1;J4-垫块-1;CyberGearmotor-3,frame2,J2,J2,revolute,0,0,0.056,1.57079632679372,-1.5707963267949,0,L1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
L3,0.00294653941692645,-0.0767000362272818,0.0140895648503954,0,0,0,0.349266386051237,0.000494264187881577,3.5398575307068E-05,-1.70729303613319E-06,0.00029085794317086,1.50944953841497E-05,0.000471123454372497,0,0,0,0,0,0,package://Yummy_Robot/meshes/L3.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L3.STL,,J4-转接-1;法兰轴承-28-15-6-1-1;薄壁轴承-65-50-7-1;J5-转接-1;CyberGearmotor-4,frame3,J3,J3,revolute,0.3,0,-0.013,0,0,1.57079632679459,L2,0,0,1,0,0,-1.57,1.57,,,,,,,,
L4,-5.33590269513606E-05,0.0012610091835103,0.178585107532826,0,0,0,0.508934462712071,0.00118659068710212,4.84953407986366E-07,9.41602772659357E-07,0.00123807229599775,-3.11940652631831E-05,0.000215723313802968,0,0,0,0,0,0,package://Yummy_Robot/meshes/L4.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L4.STL,,L4-尼龙-220-1;J5-转接-2-1;J5-限位-1;CyberGearmotor-5,frame4,J4,J4,revolute,0,-0.0960000000000002,0.015,1.5707963267949,0,-1.5707963267949,L3,0,0,1,0,0,-1.57,1.57,,,,,,,,
L5,0.0554275582447695,-8.43102749019664E-05,-0.0123559901652481,0,0,0,0.199421539807047,0.000154095694275757,1.94979485782236E-07,1.4766498691541E-05,0.000263063343244189,-3.30464015672368E-08,0.000239047984325112,0,0,0,0,0,0,package://Yummy_Robot/meshes/L5.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L5.STL,,J6-转接-1;J4-垫块-2;4310 减速电机 3D 20221104-2,frsme5,J5,J5,revolute,0,-0.0129999999998806,0.270000000000008,1.5707963267949,-1.5707963267949,0,L4,0,0,1,0,0,-1.57,1.57,,,,,,,,
L6,2.00328110335213E-05,-0.0113350896878707,0.0266092056252895,0,0,0,0.186983003022658,0.000124787922710441,6.45720649922763E-07,5.11912748065669E-09,0.000169620141646579,7.86562940534723E-06,0.00022741222304094,0,0,0,0,0,0,package://Yummy_Robot/meshes/L6.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/L6.STL,,相机支架-2;相机后盖-1;末端法兰-1;Servo Motor MG996R-1;Servo arm-2;中轴连杆-1;直线滑轨-1,frame6,J6,J6,continuous,0.107,0,-0.0149999999999897,0,1.5707963267949,0,L5,0,0,1,0,0,-1.57,1.57,,,,,,,,
Lpicker1,0.0036107049840981,-0.012667844978679,0.000173926354598009,0,0,0,0.0268795740661677,6.36542587659304E-06,9.23682773144026E-09,4.75911037020634E-07,6.15429668987293E-06,-7.20625834120107E-07,3.42901137291843E-06,0,0,0,0,0,0,package://Yummy_Robot/meshes/Lpicker1.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/Lpicker1.STL,,夹爪-1;夹爪转接-3;直线滑块-1,picker1,Jtool,Jpicker1,prismatic,-0.010054,0.0004,0.091643,0,0,-1.5708,L6,0,-1,0,0,0,-0.01,0.02,,,,,,,,
Lpicker2,-0.00361070498406746,0.0126678449785079,0.00017392635466229,0,0,0,0.0268795740661677,6.36542587659058E-06,9.236827732381E-09,-4.75911037023351E-07,6.15429668987296E-06,7.20625834120076E-07,3.42901137292091E-06,0,0,0,0,0,0,package://Yummy_Robot/meshes/Lpicker2.STL,1,1,1,1,0,0,0,0,0,0,package://Yummy_Robot/meshes/Lpicker2.STL,,夹爪-2;夹爪转接-1;直线滑块-2,picker2,Jtool,Jpicker2,prismatic,0.009946,0.0006,0.091643,0,0,-1.5708,L6,0,-1,0,0,0,-0.02,0.01,,,,,,,,
